sheet,column_index,row_index,action
Castaways,name,86,fix
Castaways,name,122,fix
Castaways,name,146,fix
Castaways,name,262,fix
Castaways,name,311,fix
Castaways,name,374,fix
Castaways,name,417,fix
Castaways,name,474,fix
Castaways,name,505,fix
Castaways,name,515,fix
Castaways,name,583,fix
Castaways,name,611,fix
Castaways,name,786,fix
Castaways,name,816,fix
Castaways,name,826,fix
Castaways,name,861,fix
Castaways,name,1390,fix
Castaways,name,1393,fix
Castaways,name,1462,fix
Castaways,name,1614,fix
Castaways,name,1682,fix
Castaways,name,1786,fix
Castaways,name,2168,fix
Castaways,name,2180,fix
Castaways,name,2295,fix
Castaways,name,2346,fix
Castaways,name,3017,fix
Castaways,name,3166,fix
Castaways,name,3186,fix
Castaways,std_name,86,fix
Castaways,std_name,122,fix
Castaways,std_name,146,fix
Castaways,std_name,262,fix
Castaways,std_name,311,fix
Castaways,std_name,374,fix
Castaways,std_name,417,fix
Castaways,std_name,474,fix
Castaways,std_name,505,fix
Castaways,std_name,515,fix
Castaways,std_name,583,fix
Castaways,std_name,611,fix
Castaways,std_name,786,fix
Castaways,std_name,816,fix
Castaways,std_name,826,fix
Castaways,std_name,861,fix
Castaways,std_name,1390,fix
Castaways,std_name,1393,fix
Castaways,std_name,1462,fix
Castaways,std_name,1614,missing
Castaways,std_name,1682,fix
Castaways,std_name,1786,fix
Castaways,std_name,2130,missing
Castaways,std_name,2168,fix
Castaways,std_name,2180,fix
Castaways,std_name,2295,fix
Castaways,std_name,2346,fix
Castaways,std_name,2369,missing
Castaways,std_name,3017,fix
Castaways,std_name,3166,fix
Castaways,std_name,3186,fix
Castaways,gender,122,missing
Castaways,gender,124,missing
Castaways,gender,397,missing
Castaways,gender,417,missing
Castaways,gender,642,missing
Castaways,gender,760,missing
Castaways,gender,786,missing
Castaways,gender,795,missing
Castaways,gender,808,missing
Castaways,gender,863,missing
Castaways,gender,869,missing
Castaways,gender,910,missing
Castaways,gender,917,missing
Castaways,gender,920,missing
Castaways,gender,973,missing
Castaways,gender,1067,missing
Castaways,gender,1193,missing
Castaways,gender,1303,missing
Castaways,gender,1369,missing
Castaways,gender,1403,missing
Castaways,gender,1444,missing
Castaways,gender,1463,missing
Castaways,gender,1503,missing
Castaways,gender,1586,missing
Castaways,gender,1620,missing
Castaways,gender,1672,missing
Castaways,gender,1681,missing
Castaways,gender,1682,missing
Castaways,gender,1695,missing
Castaways,gender,1797,missing
Castaways,gender,1857,missing
Castaways,gender,2024,missing
Castaways,gender,2060,missing
Castaways,gender,2109,missing
Castaways,gender,2130,missing
